M03U06	290
M03D03	290
M03	290
M03D09	290
M03D17	290
M03D18	290
M03D19	290
M03D20	290
M02U16	290
M02U01	290
M02	290
M02U14	290
M01U01	290
M01U05	290
M01	290
M01U07	290
SOU01	290
SOU03	290
SØ_M	290
SOS16F	290
SRS17H	290
SR_M	290
SRS17E	290
EHS18D	290
EH_M	290
EHS18B	290
SNS19H	290
SN_M	290
SNS19E	290
OGS20H	290
OG_M	290
OGS20E	290
KV/C	290
KV	290
M03	291
M03D03	291
M03D16	291
M03U01	291
M03U11	291
M032	291
M01	292
M01U40	292
M01U41	292
M01U42	292
M01U43	292
M01U44	292
M01U45	292
M01U46	292
M01U47	292
M01U48	292
M01U49	292
M01U50	292
M01U51	292
M01U52	292
M01U53	292
M011	292
RQ	494
ÅA	494
HAD	496
OJ	496
